run,category,tag,step,wall_time_utc,value
phase1_songs01,training_aggregate,train/avg_loss,7000,2026-09-08T08:44:37.613945Z,5.425842285
phase1_songs01,training_aggregate,train/avg_loss,8000,2026-09-08T08:45:41.177387Z,5.32942152
phase1_songs01,training_aggregate,train/avg_loss,9000,2026-09-08T08:46:42.969791Z,5.209912777
phase1_songs01,training_aggregate,train/avg_loss,10000,2026-09-08T08:47:47.563073Z,5.088132858
phase1_songs01,training_aggregate,train/avg_loss,11000,2026-09-08T08:49:05.097374Z,4.950396061
phase1_songs01,training_aggregate,train/avg_loss,12000,2026-09-08T08:50:10.852031Z,4.84228754
phase1_songs01,training_aggregate,train/avg_loss,13000,2026-09-08T08:51:15.351243Z,4.722506523
phase1_songs01,training_aggregate,train/avg_loss,14000,2026-09-08T08:52:14.983792Z,4.61369276
phase1_songs01,training_aggregate,train/avg_loss,15000,2026-09-08T08:53:15.025037Z,4.494114399
phase1_songs01,training_aggregate,train/avg_loss,16000,2026-09-08T08:54:19.272950Z,4.39842844
phase1_songs01,training_aggregate,train/avg_loss,17000,2026-09-08T08:55:24.279027Z,4.279050827
phase1_songs01,training_aggregate,train/avg_loss,18000,2026-09-08T08:56:25.795190Z,4.167200565
phase1_songs01,training_aggregate,train/avg_loss,19000,2026-09-08T08:57:26.393868Z,4.070196152
phase1_songs01,training_aggregate,train/avg_loss,20000,2026-09-08T08:58:26.310807Z,3.96846056
phase1_songs01,training_aggregate,train/avg_loss,21000,2026-09-08T08:59:43.545757Z,3.876425982
phase1_songs01,training_aggregate,train/avg_loss,22000,2026-09-08T09:00:46.012827Z,3.778418064
phase1_songs01,training_aggregate,train/avg_loss,23000,2026-09-08T09:01:48.705954Z,3.691824675
phase1_songs01,training_aggregate,train/avg_loss,24000,2026-09-08T09:02:51.022695Z,3.60378027
phase1_songs01,training_aggregate,train/avg_loss,25000,2026-09-08T09:03:52.606022Z,3.524577618
phase1_songs01,training_aggregate,train/avg_loss,26000,2026-09-08T09:04:56.059207Z,3.453705072
phase1_songs01,training_aggregate,train/avg_loss,27000,2026-09-08T09:05:57.874807Z,3.380424738
phase1_songs01,training_aggregate,train/avg_loss,28000,2026-09-08T09:06:59.650578Z,3.321259022
phase1_songs01,training_aggregate,train/avg_loss,29000,2026-09-08T09:08:01.703944Z,3.244682789
phase1_songs01,training_aggregate,train/avg_loss,30000,2026-09-08T09:09:05.532675Z,3.181164265
phase1_songs01,training_aggregate,train/avg_loss,31000,2026-09-08T09:10:23.184827Z,3.120563984
phase1_songs01,training_aggregate,train/avg_loss,32000,2026-09-08T09:11:27.787074Z,3.053194761
